rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
44,"spotify:track:0X5zETsfr8nGAVABRcD4o4","Djadja & Dinaz","Dans le Réseau","Carré music",9,46,162,"102426"
45,"spotify:track:2Xr1dTzJee307rmrkt8c0g","CKay","love nwantiti (ah ah ah)","Chocolate City Music",6,43,157,"101648"
46,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",6,48,199,"99488"
47,"spotify:track:4IbDTrLxImTJfZePAX2nKB","Koba LaD, Gazo","Daddy chocolat","Grinta Records, en coproduction avec Millenium, un label Universal Music France",2,50,244,"98936"
48,"spotify:track:1F80MEkZA9yTlpMQp9dhht","Tinlicker, Helsloot","Because You Move Me","B1 Recordings",37,52,169,"94910"
49,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",2,51,209,"94495"
50,"spotify:track:3ntXOAGhqRRjRbGF5Jtbuf","Vald","La faux le fer","Echelon Records",3,42,13,"94150"
51,"spotify:track:3u2NGFCIe5Ynxv8djbpVP8","Ninho","Aïcha","Rec. 118 / Mal Luné Music",4,54,76,"92561"
52,"spotify:track:5FHewCm87pZHevn3wc1zDp","Vald","Pandémie","Echelon Records",2,47,14,"92174"
53,"spotify:track:3QZ0iZsciyfyQfV0qEQgLI","Kim, Gazo","Love & Lové","Horion",36,57,53,"92171"
54,"spotify:track:2InKuNaoyiBDf4dmr780BZ","Le classico organisé, Elams, Naza, Naps, Tayc, Jul, Vegedream, Lynda, SAF, THABITI","Cœur de pirate","Rien 100 Rien",13,55,104,"91876"
55,"spotify:track:2JFBYWxcJlt1PubMJYVjc0","Ronisia, Ninho","Suis-moi (feat. Ninho)","Epic",25,53,20,"90944"
56,"spotify:track:1QOPXog7uc6nIRuIdIGsdk","Vald","Papoose","Echelon Records",4,49,13,"90418"
57,"spotify:track:4c3TC1eWvz6BgOqSlOAKdT","Orelsan","L'odeur de l'essence","7TH Magnitude / Strong Ninja",1,56,92,"89000"
58,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",58,59,73,"88595"
59,"spotify:track:0Jh6iWjna1wk5le0Ahn7No","Ninho","La vie qu'on mène","Rec. 118 / Mal Luné Music",2,60,1063,"88143"
60,"spotify:track:2ewjMyCbNv2X1dB2qIDCwD","Damso","Θ. Macarena","Universal Music Division Carthage Music",1,69,1101,"84712"
61,"spotify:track:3eJH2nAjvNXdmPfBkALiPZ","Jason Derulo","Acapulco","Atlantic Records",44,66,146,"84525"
62,"spotify:track:0iVkWge9ytV4Scgy2hQ2za","Ofenbach, Ella Henderson","Hurricane","Elektra France",52,63,147,"83904"
63,"spotify:track:29n9av2AJlYDHtqfuv0X04","Jul, Morad","La street","D'Or et de Platine",40,73,68,"83631"
64,"spotify:track:52UT99qy9z0YfQ0CQLCmAu","Niska, Ninho","N.I","Universal Music Division Capitol Music France",1,68,106,"83323"
65,"spotify:track:717QGTmZdkemDaCo1vQHG0","13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari","Bande organisée","Rien 100 Rien",1,72,551,"82758"
66,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",25,61,146,"82246"
67,"spotify:track:20on25jryn53hWghthWWW3","ACRAZE, Cherish","Do It To It","Thrive Music",10,71,101,"81348"
68,"spotify:track:13nq31k6Xsde6AtEhcNQvX","GIMS, Vitaa","PRENDS MA MAIN","Play Two",45,75,114,"80790"
69,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,58,125,"80583"
70,"spotify:track:5yHoANSze7sGzhn9MUarH3","SDM, Maes","Passat","Universal Music Division Capitol Music France",70,77,36,"80259"
71,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",6,64,237,"78895"
72,"spotify:track:656vbT8JKkVx7g1yG12L89","OBOY","Avec Toi","SYNDICATE RECORDS",32,82,239,"78374"
73,"spotify:track:66tNDqYNR2S6Svwgm3BMi9","OBOY","Cabeza","Syndicate Records",3,81,594,"77178"
74,"spotify:track:7gaXVyPaSqUwIcLPTrnHLm","Vald","Sur un nouvel album","Echelon Records",6,62,13,"76734"
75,"spotify:track:2OtS79y1U6ZbuHkP4AzFs0","Vald","Un mot","Echelon Records",7,65,13,"76277"
76,"spotify:track:368KS9UNJ8cft7RJ1USwb9","Ziak","Raspoutine","Chrome Castle",14,85,163,"75947"
77,"spotify:track:1nH2PkJL1XoUq8oE6tBZoU","The Weeknd","Sacrifice","XO / Republic Records",12,79,41,"75650"
78,"spotify:track:6xwhUh69b89aLTeYR2HH8r","Vald, Suikon Blaz AD","Happy End (feat. Suikon Blaz AD)","Echelon Records",17,67,13,"75555"
79,"spotify:track:3fd1m0WrUUkntWM2EnLS2Y","Vald","Regarde toi","Echelon Records",11,70,13,"74966"
80,"spotify:track:1OiRfikDzsqgU5oreSXl6R","A2h","Le cœur des filles","Palace Prod",60,78,133,"74734"
81,"spotify:track:4QAv7uyOwIgqOVgzczomOo","Leto, Tiakola","Mapessa (feat. Tiakola)","Rec. 118",7,86,153,"74606"
82,"spotify:track:7i63PuecZRJa91i7wolaMa","Freeze corleone, ASHE 22","DÉGRADÉ","Mangemort Squad Records",38,76,6,"73801"
83,"spotify:track:5UgxIxOJKTSW3MEsyHg64S","Vald","Rappeur conscient","Echelon Records",10,74,13,"73095"
84,"spotify:track:258QqB2zhweDE2ZLEtT1GU","Vald","Laisse tomber","Echelon Records",16,80,13,"70502"
85,"spotify:track:503OTo2dSqe7qk76rgsbep","Dr. Dre, Snoop Dogg","Still D.R.E.","Aftermath",84,84,8,"69954"
