date,song_name,rank,streams,previous_rank,peak_rank,total_days
2019-08-26,I Think He Knows,30,1863025,32,,1
2019-08-26,Cornelia Street,34,1775264,35,,1
2019-08-26,London Boy,36,1728738,37,,1
2019-08-26,Death By A Thousand Cuts,41,1598291,44,,1
2019-08-26,Afterglow,48,1411741,50,,1
2019-08-26,False God,49,1353861,52,,1
2019-08-26,Soon You’ll Get Better (feat. The Chicks),51,1282200,54,,1
2019-08-26,Daylight,61,1175291,62,,1
2019-08-26,It’s Nice To Have A Friend,67,1083248,72,,1
2019-08-27,Cruel Summer,19,2284325,17,,2
2019-08-27,ME! (feat. Brendon Urie of Panic! At The Disco),30,1852748,32,,100
2019-08-27,You Need To Calm Down,16,2545669,16,,60
2019-08-27,The Archer,39,1609717,33,,23
2019-08-27,Lover,3,3989123,2,,8
2019-08-27,The Man,10,2912968,8,,2
2019-08-27,I Forgot That You Existed,22,2102638,20,,2
2019-08-27,Paper Rings,31,1817889,22,,2
2019-08-27,Miss Americana & The Heartbreak Prince,33,1695856,27,,2
2019-08-27,I Think He Knows,36,1666552,30,,2
2019-08-27,Cornelia Street,41,1581053,34,,2
2019-08-27,London Boy,44,1545086,36,,2
2019-08-27,Death By A Thousand Cuts,50,1425515,41,,2
2019-08-27,Afterglow,57,1259798,48,,2
2019-08-27,False God,63,1181745,49,,2
2019-08-27,Soon You’ll Get Better (feat. The Chicks),69,1095179,51,,2
2019-08-27,Daylight,82,1030587,61,,2
2019-08-27,It’s Nice To Have A Friend,97,939042,67,,2
2019-08-28,Cruel Summer,22,2131852,19,,3
2019-08-28,ME! (feat. Brendon Urie of Panic! At The Disco),31,1789917,30,,101
2019-08-28,You Need To Calm Down,18,2455678,16,,61
2019-08-28,The Archer,45,1493759,39,,24
2019-08-28,Lover,3,3876475,3,,9
2019-08-28,The Man,12,2755438,10,,3
2019-08-28,I Forgot That You Existed,28,1933941,22,,3
2019-08-28,Paper Rings,35,1677503,31,,3
2019-08-28,Miss Americana & The Heartbreak Prince,41,1555555,33,,3
2019-08-28,I Think He Knows,43,1532082,36,,3
2019-08-28,Cornelia Street,46,1460460,41,,3
2019-08-28,London Boy,49,1433421,44,,3
2019-08-28,Death By A Thousand Cuts,57,1319297,50,,3
2019-08-28,Afterglow,63,1161604,57,,3
2019-08-28,False God,72,1094752,63,,3
2019-08-28,Soon You’ll Get Better (feat. The Chicks),86,991925,69,,3
2019-08-28,Daylight,96,955657,82,,3
2019-08-28,It’s Nice To Have A Friend,117,863392,97,,3
2019-08-29,Cruel Summer,26,2007850,22,,4
2019-08-29,ME! (feat. Brendon Urie of Panic! At The Disco),33,1690679,31,,102
2019-08-29,You Need To Calm Down,18,2350642,18,,62
2019-08-29,The Archer,52,1348863,45,,25
2019-08-29,Lover,3,3637817,3,,10
2019-08-29,The Man,14,2587750,12,,4
2019-08-29,I Forgot That You Existed,30,1752711,28,,4
2019-08-29,Paper Rings,42,1522413,35,,4
2019-08-29,Miss Americana & The Heartbreak Prince,48,1417359,41,,4
2019-08-29,I Think He Knows,49,1391440,43,,4
2019-08-29,Cornelia Street,54,1331512,46,,4
2019-08-29,London Boy,57,1319744,49,,4
2019-08-29,Death By A Thousand Cuts,61,1197004,57,,4
2019-08-29,Afterglow,79,1048530,63,,4
2019-08-29,False God,89,993256,72,,4
2019-08-29,Soon You’ll Get Better (feat. The Chicks),110,883547,86,,4
2019-08-29,Daylight,116,871599,96,,4
2019-08-29,It’s Nice To Have A Friend,152,779063,117,,4
2019-08-30,Cruel Summer,31,1856552,26,,5
2019-08-30,ME! (feat. Brendon Urie of Panic! At The Disco),45,1561319,33,,103
2019-08-30,You Need To Calm Down,22,2264559,18,,63
2019-08-30,The Archer,67,1189668,52,,26
2019-08-30,Lover,7,3371148,3,,11
2019-08-30,The Man,20,2390779,14,,5
2019-08-30,I Forgot That You Existed,43,1599727,30,,5
2019-08-30,Paper Rings,54,1367109,42,,5
2019-08-30,Miss Americana & The Heartbreak Prince,62,1261834,48,,5
2019-08-30,I Think He Knows,63,1246193,49,,5
2019-08-30,Cornelia Street,71,1169821,54,,5
2019-08-30,London Boy,76,1154313,57,,5
2019-08-30,Death By A Thousand Cuts,102,1043217,61,,5
2019-08-30,Afterglow,130,924351,79,,5
2019-08-30,False God,145,873793,89,,5
2019-08-30,Soon You’ll Get Better (feat. The Chicks),180,783913,110,,5
2019-08-30,Daylight,189,762175,116,,5
2019-08-31,Cruel Summer,42,1488615,31,,6
2019-08-31,ME! (feat. Brendon Urie of Panic! At The Disco),50,1322240,45,,104
2019-08-31,You Need To Calm Down,26,1965967,22,,64
2019-08-31,The Archer,110,916494,67,,27
2019-08-31,Lover,11,2856943,7,,12
2019-08-31,The Man,28,1937716,20,,6
2019-08-31,I Forgot That You Existed,54,1269222,43,,6
2019-08-31,Paper Rings,78,1054640,54,,6
2019-08-31,Miss Americana & The Heartbreak Prince,97,967842,62,,6
2019-08-31,I Think He Knows,101,950699,63,,6
2019-08-31,Cornelia Street,115,882775,71,,6
2019-08-31,London Boy,118,872439,76,,6
2019-08-31,Death By A Thousand Cuts,148,792926,102,,6
2019-08-31,Afterglow,183,704466,130,,6
2019-09-01,Cruel Summer,43,1277465,42,,7
2019-09-01,ME! (feat. Brendon Urie of Panic! At The Disco),51,1151118,50,,105
2019-09-01,You Need To Calm Down,25,1700442,26,,65
2019-09-01,The Archer,110,782073,110,,28
2019-09-01,Lover,11,2524771,11,,13
2019-09-01,The Man,28,1651639,28,,7
2019-09-01,I Forgot That You Existed,57,1061839,54,,7
2019-09-01,Paper Rings,89,875700,78,,7
2019-09-01,Miss Americana & The Heartbreak Prince,105,804992,97,,7
2019-09-01,I Think He Knows,107,792365,101,,7
2019-09-01,Cornelia Street,119,755879,115,,7
2019-09-01,London Boy,125,740133,118,,7
2019-09-01,Death By A Thousand Cuts,158,675674,148,,7
2019-09-01,Afterglow,188,603410,183,,7
2019-09-02,Cruel Summer,42,1381043,43,,8
2019-09-02,ME! (feat. Brendon Urie of Panic! At The Disco),50,1237164,51,,106
2019-09-02,You Need To Calm Down,24,1828542,25,,66
2019-09-02,The Archer,108,836321,110,,29
2019-09-02,Lover,13,2694729,11,,14
2019-09-02,The Man,26,1759786,28,,8
2019-09-02,I Forgot That You Existed,58,1111679,57,,8
2019-09-02,Paper Rings,89,936312,89,,8
2019-09-02,Miss Americana & The Heartbreak Prince,103,855649,105,,8
2019-09-02,I Think He Knows,106,842180,107,,8
2019-09-02,Cornelia Street,117,812301,119,,8
2019-09-02,London Boy,130,785912,125,,8
2019-09-02,Death By A Thousand Cuts,157,720347,158,,8
2019-09-02,Afterglow,180,647678,188,,8
2019-09-03,Cruel Summer,42,1445036,42,,9
2019-09-03,ME! (feat. Brendon Urie of Panic! At The Disco),50,1256360,50,,107
2019-09-03,You Need To Calm Down,24,1893451,24,,67
2019-09-03,The Archer,107,854423,108,,30
2019-09-03,Lover,12,2747216,13,,15
2019-09-03,The Man,27,1843939,26,,9
2019-09-03,I Forgot That You Existed,58,1152805,58,,9
2019-09-03,Paper Rings,85,970291,89,,9
2019-09-03,Miss Americana & The Heartbreak Prince,101,884292,103,,9
2019-09-03,I Think He Knows,103,872558,106,,9
2019-09-03,Cornelia Street,111,849198,117,,9
2019-09-03,London Boy,119,832579,130,,9
2019-09-03,Death By A Thousand Cuts,153,753336,157,,9
2019-09-03,Afterglow,177,675684,180,,9
2019-09-04,Cruel Summer,45,1368481,42,,10
2019-09-04,ME! (feat. Brendon Urie of Panic! At The Disco),50,1244896,50,,108
2019-09-04,You Need To Calm Down,24,1861639,24,,68
2019-09-04,The Archer,128,808920,107,,31
2019-09-04,Lover,13,2656375,12,,16
2019-09-04,The Man,29,1771088,27,,10
2019-09-04,I Forgot That You Existed,63,1092779,58,,10
2019-09-04,Paper Rings,95,907571,85,,10
2019-09-04,Miss Americana & The Heartbreak Prince,120,826001,101,,10
2019-09-04,I Think He Knows,122,822503,103,,10
2019-09-04,Cornelia Street,137,792557,111,,10
2019-09-04,London Boy,140,788603,119,,10
2019-09-04,Death By A Thousand Cuts,165,701476,153,,10
2019-09-05,Cruel Summer,48,1303158,45,,11
2019-09-05,ME! (feat. Brendon Urie of Panic! At The Disco),51,1203944,50,,109
2019-09-05,You Need To Calm Down,27,1811814,24,,69
2019-09-05,The Archer,146,768678,128,,32
2019-09-05,Lover,14,2534894,13,,17
2019-09-05,The Man,32,1681114,29,,11
2019-09-05,I Forgot That You Existed,69,1039392,63,,11
2019-09-05,Paper Rings,113,857839,95,,11
2019-09-05,Miss Americana & The Heartbreak Prince,139,779078,120,,11
2019-09-05,I Think He Knows,143,774793,122,,11
2019-09-05,Cornelia Street,158,747402,137,,11
2019-09-05,London Boy,154,753066,140,,11
2019-09-05,Death By A Thousand Cuts,189,662205,165,,11
2019-09-06,Cruel Summer,70,1217387,48,,12
2019-09-06,ME! (feat. Brendon Urie of Panic! At The Disco),74,1167472,51,,110
2019-09-06,You Need To Calm Down,48,1660737,27,,70
2019-09-06,The Archer,184,723385,146,,33
2019-09-06,Lover,32,2428664,14,,18
2019-09-06,The Man,55,1568192,32,,12
2019-09-06,I Forgot That You Existed,103,992957,69,,12
2019-09-06,Paper Rings,150,802645,113,,12
2019-09-06,Miss Americana & The Heartbreak Prince,182,726563,139,,12
2019-09-06,I Think He Knows,185,722837,143,,12
2019-09-06,Cornelia Street,199,696612,158,,12
2019-09-06,London Boy,194,705533,154,,12
2019-09-07,Cruel Summer,80,1041905,70,,13
2019-09-07,ME! (feat. Brendon Urie of Panic! At The Disco),83,1027488,74,,111
2019-09-07,You Need To Calm Down,51,1473837,48,,71
2019-09-07,Lover,32,2145959,32,,19
2019-09-07,The Man,60,1333296,55,,13
2019-09-07,I Forgot That You Existed,122,858632,103,,13
2019-09-07,Paper Rings,181,683405,150,,13
2019-09-08,Cruel Summer,82,910622,80,,14
2019-09-08,ME! (feat. Brendon Urie of Panic! At The Disco),79,919263,83,,112
2019-09-08,You Need To Calm Down,52,1279610,51,,72
2019-09-08,Lover,31,1940419,32,,20
2019-09-08,The Man,60,1143575,60,,14
2019-09-08,I Forgot That You Existed,122,753155,122,,14
2019-09-08,Paper Rings,188,608836,181,,14
2019-09-09,Cruel Summer,76,1021659,82,,15
2019-09-09,ME! (feat. Brendon Urie of Panic! At The Disco),74,1039186,79,,113
2019-09-09,You Need To Calm Down,52,1403587,52,,73
2019-09-09,Lover,29,2113696,31,,21
2019-09-09,The Man,56,1304470,60,,15
2019-09-09,I Forgot That You Existed,112,844965,122,,15
2019-09-09,Paper Rings,168,687727,188,,15
2019-09-10,Cruel Summer,83,1002889,76,,16
2019-09-10,ME! (feat. Brendon Urie of Panic! At The Disco),76,1041770,74,,114
2019-09-10,You Need To Calm Down,53,1429265,52,,74
2019-09-10,Lover,29,2103339,29,,22
2019-09-10,The Man,57,1312943,56,,16
2019-09-10,I Forgot That You Existed,127,829166,112,,16
2019-09-10,Paper Rings,185,670080,168,,16
2019-09-11,Cruel Summer,87,973212,83,,17
2019-09-11,ME! (feat. Brendon Urie of Panic! At The Disco),82,1021755,76,,115
2019-09-11,You Need To Calm Down,51,1428442,53,,75
2019-09-11,Lover,29,2134958,29,,23
2019-09-11,The Man,60,1284998,57,,17
2019-09-11,I Forgot That You Existed,138,795413,127,,17
2019-09-12,Cruel Summer,95,947715,87,,18
2019-09-12,ME! (feat. Brendon Urie of Panic! At The Disco),81,1009413,82,,116
2019-09-12,You Need To Calm Down,51,1392894,51,,76
2019-09-12,Lover,32,2068552,29,,24
2019-09-12,The Man,61,1247357,60,,18
2019-09-12,I Forgot That You Existed,143,771603,138,,18
2019-09-13,Cruel Summer,118,894457,95,,19
2019-09-13,ME! (feat. Brendon Urie of Panic! At The Disco),90,1024621,81,,117
2019-09-13,You Need To Calm Down,55,1413062,51,,77
2019-09-13,Lover,35,2024592,32,,25
2019-09-13,The Man,67,1184444,61,,19
2019-09-13,I Forgot That You Existed,167,758114,143,,19
2019-09-14,Cruel Summer,147,776165,118,,20
2019-09-14,ME! (feat. Brendon Urie of Panic! At The Disco),96,943012,90,,118
2019-09-14,You Need To Calm Down,58,1288405,55,,78
2019-09-14,Lover,38,1819104,35,,26
2019-09-14,The Man,81,1006279,67,,20
2019-09-14,I Forgot That You Existed,193,666034,167,,20
2019-09-19,Cruel Summer,140,770479,136,,21
2019-09-19,ME! (feat. Brendon Urie of Panic! At The Disco),88,949870,85,,119
2019-09-19,You Need To Calm Down,52,1325033,51,,79
2019-09-19,Lover,33,1803137,33,,27
2019-09-19,The Man,86,959133,81,,21
2019-09-19,I Forgot That You Existed,176,660790,172,,21
2019-09-20,Cruel Summer,163,755682,140,,22
2019-09-20,ME! (feat. Brendon Urie of Panic! At The Disco),102,962529,88,,120
2019-09-20,You Need To Calm Down,60,1266782,52,,80
2019-09-20,Lover,36,1762293,33,,28
2019-09-20,The Man,134,834992,86,,22
2019-09-21,Cruel Summer,187,660507,163,,23
2019-09-21,ME! (feat. Brendon Urie of Panic! At The Disco),108,876509,102,,121
2019-09-21,You Need To Calm Down,64,1144516,60,,81
2019-09-21,Lover,39,1545367,36,,29
2019-09-21,The Man,170,696005,134,,23
2019-09-22,Cruel Summer,178,592624,187,,24
2019-09-22,ME! (feat. Brendon Urie of Panic! At The Disco),104,773025,108,,122
2019-09-22,You Need To Calm Down,65,993308,64,,82
2019-09-22,Lover,38,1391670,39,,30
2019-09-22,The Man,174,602138,170,,24
2019-09-23,Cruel Summer,168,671387,178,,25
2019-09-23,ME! (feat. Brendon Urie of Panic! At The Disco),95,864766,104,,123
2019-09-23,You Need To Calm Down,64,1106545,65,,83
2019-09-23,Lover,36,1547554,38,,31
2019-09-23,The Man,162,688036,174,,25
2019-09-24,Cruel Summer,171,680874,168,,26
2019-09-24,ME! (feat. Brendon Urie of Panic! At The Disco),97,883177,95,,124
2019-09-24,You Need To Calm Down,62,1145743,64,,84
2019-09-24,Lover,36,1572598,36,,32
2019-09-24,The Man,164,694285,162,,26
2019-09-25,Cruel Summer,176,675457,171,,27
2019-09-25,ME! (feat. Brendon Urie of Panic! At The Disco),98,893810,97,,125
2019-09-25,You Need To Calm Down,62,1168792,62,,85
2019-09-25,Lover,37,1596596,36,,33
2019-09-25,The Man,169,693913,164,,27
2019-09-26,Cruel Summer,191,664452,176,,28
