rank,track_name,artist_names,streams,previous_rank,peak_rank
66,Dreams - 2004 Remaster,Fleetwood Mac,1734989,72,17
67,Paint By Numbers,Harry Styles,1732490,43,22
68,Yellow,Coldplay,1725305,70,15
69,Sparks,Coldplay,1709061,83,26
70,Cuando No Era Cantante,"El Bogueto, Yung Beef",1704157,67,13
71,Who Knows,Daniel Caesar,1679210,89,51
72,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",1633129,65,12
73,APT.,"ROSÉ, Bruno Mars",1628448,73,1
74,dopamina,"Peso Pluma, Tito Double P",1620094,75,11
75,LA CANCIÓN,"J Balvin, Bad Bunny",1609648,69,7
76,Who,Jimin,1603548,100,1
77,Feel Good Inc.,"Gorillaz, De La Soul",1598638,77,39
78,kota ini tak sama tanpamu,Nadhif Basalamah,1593207,107,27
79,The Man Who Can't Be Moved,The Script,1582405,103,79
80,As It Was,Harry Styles,1578777,71,1
81,Bahagia Lagi,Piche Kota,1573941,118,70
82,505,Arctic Monkeys,1567637,93,40
83,Ya Borracho,Herencia De Grandes,1567096,78,48
84,daño,"Peso Pluma, Tito Double P",1546055,80,28
85,That’s So True,Gracie Abrams,1545903,91,3
86,Dracula,Tame Impala,1544172,90,27
87,Pvta Luna,Neton Vega,1542490,79,49
88,Lose Control,Teddy Swims,1541093,76,5
89,The Night We Met,Lord Huron,1538230,119,15
90,Starboy,"The Weeknd, Daft Punk",1537256,84,1
91,Locked out of Heaven,Bruno Mars,1526853,74,14
92,Todo Lo Fue,Lenin Ramírez,1517438,85,53
93,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",1499459,96,2
94,Fame is a Gun,Addison Rae,1490612,104,31
95,Dracula - JENNIE Remix,"Tame Impala, JENNIE",1488661,120,47
96,"Good Luck, Babe!",Chappell Roan,1488635,88,5
97,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean",1469929,117,97
98,Have You Ever Seen The Rain,Creedence Clearwater Revival,1463493,94,58
99,In the End,Linkin Park,1453651,81,7
100,No One Noticed,The Marías,1451961,129,32
101,undressed,sombr,1448908,105,6
102,Danza Kuduro,"Don Omar, Lucenzo",1448208,82,55
103,We Are The People,Empire Of The Sun,1446368,108,86
104,Midnight Sun,Zara Larsson,1438264,98,95
105,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",1432967,148,1
106,Just the Way You Are,Bruno Mars,1429400,102,24
107,GO,BLACKPINK,1428828,86,9
108,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",1425934,92,58
109,CHANEL,Tyla,1425159,97,8
110,Shape of You,Ed Sheeran,1417529,109,1
111,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",1415743,87,8
112,COQUETA,"Fuerza Regida, Grupo Frontera",1413116,116,76
113,Viva La Vida,Coldplay,1412705,115,27
114,Sedia Aku Sebelum Hujan,Idgitaf,1412348,138,15
115,Billie Jean,Michael Jackson,1408715,95,35
116,Marlboro Rojo,Fuerza Regida,1407952,124,13
117,Nice To Each Other,Olivia Dean,1403002,123,44
118,What You Saying,Lil Uzi Vert,1397789,121,33
119,Let Me Love You,"DJ Snake, Justin Bieber",1396434,113,3
120,A Couple Minutes,Olivia Dean,1381967,139,57
121,Cinnamon Girl,Lana Del Rey,1381746,133,70
122,Bring Me To Life,Evanescence,1380177,106,72
123,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",1376149,125,2
124,chiclona,"Peso Pluma, Tito Double P, LENCHO",1375518,114,114
125,7-3,"Peso Pluma, Tito Double P",1373185,112,40
126,From The Start,Laufey,1371652,152,77
127,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",1347406,99,4
128,Body,Don Toliver,1345085,122,18
129,Si Antes Te Hubiera Conocido,KAROL G,1340701,101,4
130,The Less I Know The Better,Tame Impala,1339631,136,82
131,Folded,Kehlani,1315425,155,54
132,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",1314629,157,13
133,Smells Like Teen Spirit,Nirvana,1308195,127,92
134,Perfect,Ed Sheeran,1305966,145,3
135,Young And Beautiful,Lana Del Rey,1303019,154,79
136,Another Love,Tom Odell,1301036,137,11
137,Shut up My Moms Calling,Hotel Ugly,1299026,150,63
138,no tiene sentido,Beéle,1296144,111,15
139,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",1291036,128,57
140,like JENNIE,JENNIE,1287062,144,5
142,God Was Showing Off,Bruno Mars,1278213,110,30
143,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",1275410,126,63
144,Let Down,Radiohead,1268522,189,49
145,DAISIES,Justin Bieber,1262110,153,1
146,Counting Stars,OneRepublic,1262073,135,78
147,Africa,TOTO,1258748,132,66
148,Boys Don't Cry,The Cure,1257675,177,116
149,No Pole,Don Toliver,1257393,158,58
150,Dance With Me,Bruno Mars,1253258,130,67
151,Apocalypse,Cigarettes After Sex,1251385,200,44
152,Cha Cha Cha,Bruno Mars,1250707,131,27
153,Photograph,Ed Sheeran,1249298,162,40
154,Somewhere Only We Know,Keane,1247536,146,60
155,luther (with sza),"Kendrick Lamar, SZA",1240689,163,2
156,Unforgettable,"French Montana, Swae Lee",1233675,166,3
157,we can't be friends (wait for your love),Ariana Grande,1228669,183,1
158,Blinding Lights,The Weeknd,1226402,143,1
159,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",1221953,172,7
160,Me Rehúso,Danny Ocean,1221889,134,18
161,Sorry,Justin Bieber,1219610,147,55
162,When I Was Your Man,Bruno Mars,1219556,160,28
163,NO BATIDÃO,"ZXKAI, slxughter",1219002,159,125
164,Night Changes,One Direction,1215596,188,6
165,Kiss It Better,Rihanna,1214479,164,130
166,KLOuFRENS,Bad Bunny,1211137,151,18
167,Payphone,"Maroon 5, Wiz Khalifa",1204991,181,46
168,Numb,Linkin Park,1204452,141,12
170,It Will Rain,Bruno Mars,1199700,192,29
171,Take Me To Church,Hozier,1194531,182,91
172,Only Girl (In The World),Rihanna,1194154,140,45
174,Promiscuous,"Nelly Furtado, Timbaland",1186105,165,95
175,Without Me,Eminem,1185318,149,29
176,Everybody Wants To Rule The World,Tears For Fears,1183668,180,36
177,Don't Stop The Music,Rihanna,1182910,142,73
178,4 Raws,EsDeeKid,1180910,170,29
179,Closer,"The Chainsmokers, Halsey",1179981,171,2
181,The Scientist,Coldplay,1172503,199,63
182,Breakin' Dishes,Rihanna,1167980,176,32
184,Flashing Lights,"Kanye West, Dwele",1165233,194,112
185,Poker Face,Lady Gaga,1163014,173,24
186,JUMP,BLACKPINK,1162932,175,1
187,The Spins,"Mac Miller, Empire Of The Sun",1159076,196,187
188,Style,Taylor Swift,1157434,193,12
191,Sweet Child O' Mine,Guns N' Roses,1151625,161,94
192,Pink Pony Club,Chappell Roan,1151109,185,18
194,Zoo,"Disney, Shakira",1150310,168,78
195,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow",1148767,156,122
196,Can't Stop,Red Hot Chili Peppers,1148153,186,107
197,Gangsta's Paradise,"Coolio, L.V.",1145010,169,11
200,The Chain - 2004 Remaster,Fleetwood Mac,1123439,190,103
