rank,track_name,artist_names,streams,previous_rank,peak_rank
97,Bring Me To Life,Evanescence,1564907,122,72
98,"Good Luck, Babe!",Chappell Roan,1564575,96,5
99,Body,Don Toliver,1558811,128,18
100,Just the Way You Are,Bruno Mars,1557857,106,24
101,Ya Borracho,Herencia De Grandes,1549851,83,48
102,Midnight Sun,Zara Larsson,1539594,104,95
103,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",1519981,108,58
104,Cinnamon Girl,Lana Del Rey,1516448,121,70
105,What You Saying,Lil Uzi Vert,1511729,118,33
106,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",1506684,105,1
107,No One Noticed,The Marías,1504555,100,32
108,Danza Kuduro,"Don Omar, Lucenzo",1501356,102,55
109,Billie Jean,Michael Jackson,1498143,115,35
110,Todo Lo Fue,Lenin Ramírez,1490142,92,53
111,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",1489906,123,2
112,GO,BLACKPINK,1488615,107,9
113,Viva La Vida,Coldplay,1488283,113,27
114,A Couple Minutes,Olivia Dean,1487062,120,57
115,Let Me Love You,"DJ Snake, Justin Bieber",1480153,119,3
116,The Less I Know The Better,Tame Impala,1475784,130,82
117,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",1473443,111,8
118,Nice To Each Other,Olivia Dean,1472999,117,44
119,Numb,Linkin Park,1470608,168,12
120,Bahagia Lagi,Piche Kota,1464295,81,70
121,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",1460345,127,4
122,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",1456422,132,13
123,Smells Like Teen Spirit,Nirvana,1455722,133,92
124,No Pole,Don Toliver,1450049,149,58
125,CHANEL,Tyla,1449171,109,8
126,7-3,"Peso Pluma, Tito Double P",1448686,125,40
127,Another Love,Tom Odell,1435870,136,11
128,COQUETA,"Fuerza Regida, Grupo Frontera",1416016,112,76
129,chiclona,"Peso Pluma, Tito Double P, LENCHO",1412899,124,114
130,Somewhere Only We Know,Keane,1406778,154,60
131,Marlboro Rojo,Fuerza Regida,1406074,116,13
132,Shape of You,Ed Sheeran,1401145,110,1
133,Young And Beautiful,Lana Del Rey,1395981,135,79
134,Folded,Kehlani,1389680,131,54
135,Dance With Me,Bruno Mars,1386977,150,67
136,When I Was Your Man,Bruno Mars,1383172,162,28
137,Unforgettable,"French Montana, Swae Lee",1374150,156,3
138,Let Down,Radiohead,1371348,144,49
139,Counting Stars,OneRepublic,1370694,146,78
140,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",1369509,139,57
141,luther (with sza),"Kendrick Lamar, SZA",1369378,155,2
142,no tiene sentido,Beéle,1368654,138,15
143,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",1358449,143,63
144,Kiss It Better,Rihanna,1357533,165,130
145,Blinding Lights,The Weeknd,1354048,158,1
146,Si Antes Te Hubiera Conocido,KAROL G,1351853,129,4
147,Perfect,Ed Sheeran,1347490,134,3
148,Sedia Aku Sebelum Hujan,Idgitaf,1344187,114,15
149,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",1343084,159,7
150,like JENNIE,JENNIE,1341117,140,5
151,Africa,TOTO,1340966,147,66
152,Can't Stop,Red Hot Chili Peppers,1339815,196,107
153,Have You Ever Seen The Rain,Creedence Clearwater Revival,1339802,98,58
154,DAISIES,Justin Bieber,1335457,145,1
155,God Was Showing Off,Bruno Mars,1331601,142,30
156,Shut up My Moms Calling,Hotel Ugly,1330331,137,63
157,From The Start,Laufey,1330272,126,77
158,Apocalypse,Cigarettes After Sex,1326225,151,44
159,Without Me,Eminem,1322239,175,29
160,4 Raws,EsDeeKid,1320026,178,29
161,Photograph,Ed Sheeran,1319091,153,40
162,Only Girl (In The World),Rihanna,1311727,172,45
163,Closer,"The Chainsmokers, Halsey",1310384,179,2
164,we can't be friends (wait for your love),Ariana Grande,1306471,157,1
165,It Will Rain,Bruno Mars,1303524,170,29
166,Take Me To Church,Hozier,1299800,171,91
167,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",1296478,190,39
168,Ada titik-titik di ujung doa,Sal Priadi,1294440,141,141
169,Promiscuous,"Nelly Furtado, Timbaland",1294322,174,95
170,Summertime Sadness,Lana Del Rey,1290020,199,74
171,KLOuFRENS,Bad Bunny,1288608,166,18
172,Cha Cha Cha,Bruno Mars,1287823,152,27
173,Payphone,"Maroon 5, Wiz Khalifa",1282799,167,46
174,Night Changes,One Direction,1281546,164,6
175,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow",1278125,195,122
176,Sweet Child O' Mine,Guns N' Roses,1269275,191,94
177,Boys Don't Cry,The Cure,1269156,148,116
178,Sorry,Justin Bieber,1268484,161,55
179,The Spins,"Mac Miller, Empire Of The Sun",1267335,187,179
180,Don't Stop The Music,Rihanna,1266589,177,73
182,Flashing Lights,"Kanye West, Dwele",1253772,184,112
183,Gangsta's Paradise,"Coolio, L.V.",1252546,197,11
184,The Scientist,Coldplay,1251776,181,63
188,Style,Taylor Swift,1243379,188,12
189,Poker Face,Lady Gaga,1242217,185,24
191,Me Rehúso,Danny Ocean,1231359,160,18
192,Everybody Wants To Rule The World,Tears For Fears,1228939,176,36
196,The Chain - 2004 Remaster,Fleetwood Mac,1216252,200,103
200,Breakin' Dishes,Rihanna,1204780,182,32
