rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
58,spotify:track:2ByBBvpR9b7IynvRmnG7kG,Taylor Swift,Clean (Taylor's Version),Taylor Swift,16,52,6,1720228,masterpiece; pop; female vocalist; ambient; indietronica,True,1989 (Taylor's Version),,
60,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,71,280,1715468,pop; country; love; indie folk; country pop,True,You Belong With Me,,
61,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,69,236,1710252,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
63,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,Taylor Swift,Shake It Off (Taylor's Version),Taylor Swift,11,53,6,1704592,dance-pop; pop; teen pop; pep band; marching band,True,1989 (Taylor's Version),,
66,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,77,706,1685485,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
72,spotify:track:43y1WpBdnEy5TR9aZoSQL9,Taylor Swift,I Wish You Would (Taylor's Version),Taylor Swift,14,56,6,1612270,bubblegum pop; electropop; synthwave; synthpop; female vocalist,True,1989 (Taylor's Version),,
75,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,96,266,1581577,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
84,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,99,332,1531538,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
87,spotify:track:2f0GI2ZLUtbGqFx8t2Gk6A,Taylor Swift,I Know Places (Taylor's Version),Taylor Swift,19,60,6,1523907,pop; drum and bass; electropop; synthpop; electronic,True,1989 (Taylor's Version),,
91,spotify:track:2ve0kuaWUCt4Zx8x4bf1MR,Taylor Swift,Wonderland (Taylor's Version),Taylor Swift,21,67,6,1489860,pop; electropop; melodic dubstep; singer-songwriter; amazing,True,1989 (Taylor's Version),,
92,spotify:track:5QVVjX0ZItqlVpEuVCM9Yg,Taylor Swift,This Love (Taylor’s Version),Taylor Swift,22,68,19,1485441,pop; synthpop; dream pop; soft rock; ethereal,True,This Love (Taylor’s Version),,
94,spotify:track:64FzgoLZ3oXu2SriZblHic,Taylor Swift,Bad Blood (Taylor's Version),Taylor Swift,13,63,6,1484068,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,1989 (Taylor's Version),,
96,spotify:track:75W3SngKzTuoQ94uLf3y82,Taylor Swift,How You Get The Girl (Taylor's Version),Taylor Swift,17,65,6,1476159,bubblegum pop; electropop; pop; female vocalist; synth-pop,True,1989 (Taylor's Version),,
103,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,108,444,1436007,pop; electropop; gospel; edm; exile,True,Golden Collection,,
105,spotify:track:4UwqOWDpdeIDVQDuKT6iza,Taylor Swift,You Are In Love (Taylor's Version),Taylor Swift,25,74,6,1427849,ambient; pop; beautiful; synthpop; masterpiece,True,1989 (Taylor's Version),,
171,spotify:track:6qAcApH8obo8eqatCKUHd9,"Taylor Swift, Kendrick Lamar",Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,40,122,6,1177248,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
195,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,164,251,1118224,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
