rank,track_name,artist_names,streams,previous_rank,peak_rank
177,Flashing Lights,"Kanye West, Dwele",1259758,175,112
178,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow",1257771,180,122
179,Summertime Sadness,Lana Del Rey,1257155,183,74
180,Wonderwall - Remastered,Oasis,1256722,182,16
181,KLOuFRENS,Bad Bunny,1251657,172,18
182,like JENNIE,JENNIE,1247670,167,5
183,Promiscuous,"Nelly Furtado, Timbaland",1247253,173,95
184,Breakin' Dishes,Rihanna,1245835,199,32
185,Poker Face,Lady Gaga,1245615,181,24
186,Ada titik-titik di ujung doa,Sal Priadi,1243538,174,141
187,Style,Taylor Swift,1242987,171,12
188,Sports car,Tate McRae,1240028,190,14
189,Boys Don't Cry,The Cure,1232567,192,116
190,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",1231517,179,39
191,Sorry,Justin Bieber,1229731,170,55
192,Everybody Wants To Rule The World,Tears For Fears,1224718,191,36
193,Do I Wanna Know?,Arctic Monkeys,1217379,194,91
194,Sex on Fire,Kings of Leon,1216183,200,99
195,Love The Way You Lie,"Eminem, Rihanna",1210520,193,110
196,S&M,Rihanna,1206586,197,80
197,The Spins,"Mac Miller, Empire Of The Sun",1204933,186,179
198,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",1195686,198,143
199,Stressed Out,Twenty One Pilots,1195222,195,63
