rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
14,spotify:track:0zo975x58DlXbZllWvfYhg,Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,14,-1,1,5306762,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
15,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,2,152,5246618,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
16,spotify:track:4ABYxlb92WBIjHu7TIKmml,"Taylor Swift, Hayley Williams",Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,16,-1,1,5235377,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
17,spotify:track:4tMzIAFTFdqGBQLdfbPces,Taylor Swift,Haunted (Taylor's Version),Taylor Swift,17,-1,1,5000122,haunted; rock; pop rock; punk; taylors version,True,Speak Now (Taylor's Version),,
18,spotify:track:59KOoHFcw5XfICnO57holu,Taylor Swift,Last Kiss (Taylor's Version),Taylor Swift,18,-1,1,4771456,country; ballad; taylors version; rock; soft rock,False,Speak Now (Taylor's Version),,
19,spotify:track:2EFZ9emtKWEglWUQGEQ3P9,Taylor Swift,Never Grow Up (Taylor's Version),Taylor Swift,19,-1,1,4668451,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
20,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,Taylor Swift,Long Live (Taylor's Version),Taylor Swift,20,-1,1,4481928,heartland rock; country; taylors version; pop rock; pop,False,Speak Now (Taylor's Version),,
21,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,21,-1,1,4387858,rock; country; country pop; soft rock; taylors version,True,,,
23,spotify:track:12nBPF4Rh4XLFJV0YLN7uj,Taylor Swift,Innocent (Taylor's Version),Taylor Swift,23,-1,1,4239290,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
24,spotify:track:1HCdems7PQZRj42QDWLA0A,Taylor Swift,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,24,-1,1,4237082,country; taylors version; from the vault; female vocalist; country rock,False,,,
26,spotify:track:3yNJkriPzWjkkDAWHIAVUq,Taylor Swift,Ours (Taylor’s Version),Taylor Swift,26,-1,1,3866730,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
34,spotify:track:4evLyY5Ue1Wesc61t2KXAU,Taylor Swift,Superman (Taylor’s Version),Taylor Swift,34,-1,1,3360083,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
49,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,36,36,119,2432971,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
51,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,23,260,2430354,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
52,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,29,29,589,2423109,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
76,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,50,215,1940806,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
82,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,41,41,183,1848292,country; pop; taylor swift; love; country pop,True,Speak Now,,
84,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,58,134,1822401,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
118,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,87,327,1542478,pop; electropop; gospel; edm; exile,True,Golden Collection,,
124,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,98,163,1517089,pop; country; love; indie folk; country pop,True,You Belong With Me,,
186,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,151,65,1251366,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
188,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,120,150,1250060,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
