rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
40,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,21,21,2,2524409,rock; country; country pop; soft rock; taylors version,True,,,
44,spotify:track:59KOoHFcw5XfICnO57holu,Taylor Swift,Last Kiss (Taylor's Version),Taylor Swift,18,18,2,2395407,country; ballad; taylors version; rock; soft rock,False,Speak Now (Taylor's Version),,
46,spotify:track:1HCdems7PQZRj42QDWLA0A,Taylor Swift,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,24,24,2,2371306,country; taylors version; from the vault; female vocalist; country rock,False,,,
47,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,36,49,120,2331850,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
49,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,29,52,590,2313881,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
51,spotify:track:2EFZ9emtKWEglWUQGEQ3P9,Taylor Swift,Never Grow Up (Taylor's Version),Taylor Swift,19,19,2,2301656,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
52,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,51,261,2295247,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
62,spotify:track:12nBPF4Rh4XLFJV0YLN7uj,Taylor Swift,Innocent (Taylor's Version),Taylor Swift,23,23,2,2121496,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
68,spotify:track:3yNJkriPzWjkkDAWHIAVUq,Taylor Swift,Ours (Taylor’s Version),Taylor Swift,26,26,2,2065910,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
85,spotify:track:4evLyY5Ue1Wesc61t2KXAU,Taylor Swift,Superman (Taylor’s Version),Taylor Swift,34,34,2,1784613,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
86,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,76,216,1772250,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
93,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,84,135,1718607,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
125,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,41,82,184,1479518,country; pop; taylor swift; love; country pop,True,Speak Now,,
134,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,118,328,1436338,pop; electropop; gospel; edm; exile,True,Golden Collection,,
137,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,124,164,1425535,pop; country; love; indie folk; country pop,True,You Belong With Me,,
187,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,186,66,1224864,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
