date,track_id,streams,daily_streams
2026-03-09,0DMVrlMUn01M0IcpDbwgu7,77513027,
2026-03-09,0VE4kBnHJUgtMf0dy6DRmW,900571419,303535
2026-03-09,7C0w28EsX0Um2FrZs9gso2,157220980,36253
2026-03-09,7bdyzcQ0onk60hfsxDCd2X,521648,
2026-03-09,6cf6rLb8qcklvJv90W6HCW,25358159,4036
2026-03-09,5BK0uqwY9DNfZ630STAEaq,356882100,
2026-03-09,1ZY1PqizIl78geGM4xWlEA,734942223,
2026-03-09,73YUReisjb3A9ActdLLjJQ,242499303,68267
2026-03-09,3ZHTwJzCNDFvjLpVQiqpH6,402265,154
2026-03-09,4tMzIAFTFdqGBQLdfbPces,125325533,
2026-03-09,0W0iAC1VGlB82PI6elxFYf,550817372,443624
2026-03-09,11UaQaEp2LvdspTyyuE3ur,118081736,22003
2026-03-09,6wcFdMmiDscAhZJrcVFumx,55417323,
2026-03-09,62rlxI6g2PNaWsHoiRryto,27971594,
2026-03-09,4fWDgRZa0GKE5KZNhE9MQa,55417323,
2026-03-09,3xYJScVfxByb61dYHTwiby,281845357,
2026-03-09,550erGcdD9n6PnwxrvYqZT,118540306,
2026-03-09,1SztNGCwEHJEVFx90E5g7D,198998894,
2026-03-09,0QTBsdoJhamY3Aid3fOsOd,16281783,
2026-03-09,60hGQrn24APqEFSLObLeDc,284558463,
2026-03-09,6MWoRt97mnSTXZhu3ggi9C,242232649,61164
2026-03-09,7J4b3LVCIGO4CMBDFLPoP6,117093356,
2026-03-09,5d2Kn9oAAh9S2EbyCo1i52,60017336,10121
2026-03-09,5Bedn0svl0ZD7RGmJkmKKw,213054513,
2026-03-09,4qmFC3Jz5aQ0erlk2OSi2X,175523560,287137
2026-03-09,733OhaXQIHY7BKtY3vnSkn,120942920,51162
2026-03-09,6wfugRLamFsTRbPcCpNnP7,192849736,33236
2026-03-09,5VwFkx7JOimOGTYfha5rs1,67150269,
2026-03-09,2r9CbjYgFhtAmcFv1cSquB,124871765,
2026-03-09,4dgf2DYVJbtmy8zAYLs4c7,800523429,351312
2026-03-09,4CkgMiMqZ5JzW9iYXSTMTL,282486513,
2026-03-09,0hFF0aqyjDwDh6SQwRbTyx,7745183,
2026-03-09,5chnRTB9qMK3W1M41SnU9s,183229330,77082
2026-03-09,2PGIFYRG1XWsPqNG14hgD1,5054408,1800
2026-03-09,4svZDCRz4cJoneBpjpx8DJ,573240170,148771
2026-03-09,5kHMfzgLZP95O9NBy0ku4v,338936334,81603
2026-03-09,2hecdut2HWM5JMHqLTWThq,518672,186
2026-03-09,2y5aJvzXhHPA94U5GFAcXe,2092423690,
2026-03-09,3hlGuz3loYoLfI3bpwieWq,171313086,96090
2026-03-09,43rA71bccXFGD4C8GOpIlN,411769518,
2026-03-09,6AtZLIzUINvExIUy4QhdjP,496140534,100720
2026-03-09,1ULabO0PEsdJekqVH6G10G,117758411,
2026-03-09,72jCZdH0Lhg93z6Z4hBjgj,1089620170,395828
2026-03-09,2zfgVd034GlUvk7LqBHl6u,146037457,
2026-03-09,4JQm7ebhsrt10wmrP6AfXL,6380922,579
2026-03-09,1Zai5UJ2di3qEuR2HeT2s8,129324272,
2026-03-09,2YWtcWi3a83pdEg3Gif4Pd,343920506,74457
2026-03-09,43y1WpBdnEy5TR9aZoSQL9,136352805,57683
