rank,track_name,artist_names,streams,previous_rank,peak_rank
159,Shut up My Moms Calling,Hotel Ugly,1287902,137,63
160,GO,BLACKPINK,1281275,148,9
161,DAISIES,Justin Bieber,1277201,159,1
162,We Found Love,"Rihanna, Calvin Harris",1271533,158,18
163,Don't Stop The Music,Rihanna,1271295,162,73
164,Sweet Child O' Mine,Guns N' Roses,1266365,171,94
166,Style,Taylor Swift,1264107,187,12
167,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow",1263936,178,122
169,Sex on Fire,Kings of Leon,1254131,194,99
170,KLOuFRENS,Bad Bunny,1252785,181,18
171,Payphone,"Maroon 5, Wiz Khalifa",1248677,175,46
172,Dance With Me,Bruno Mars,1245805,164,67
173,The Scientist,Coldplay,1242807,170,63
176,4 Raws,EsDeeKid,1240112,169,29
177,Come As You Are,Nirvana,1232037,200,143
178,Take Me To Church,Hozier,1230491,168,91
179,like JENNIE,JENNIE,1229702,182,5
180,Wonderwall - Remastered,Oasis,1229161,180,16
181,Have You Ever Seen The Rain,Creedence Clearwater Revival,1228140,146,58
182,Flashing Lights,"Kanye West, Dwele",1223372,177,112
184,Poker Face,Lady Gaga,1221694,185,24
186,Africa,TOTO,1216185,166,66
188,Promiscuous,"Nelly Furtado, Timbaland",1214260,183,95
189,Me Rehúso,Danny Ocean,1213934,172,18
191,Closer,"The Chainsmokers, Halsey",1211900,152,2
193,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",1200740,165,63
194,Breakin' Dishes,Rihanna,1199548,184,32
195,Do I Wanna Know?,Arctic Monkeys,1198251,193,91
196,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",1197734,198,143
197,Something Just Like This,"The Chainsmokers, Coldplay",1193309,173,2
199,Sports car,Tate McRae,1190463,188,14
200,S&M,Rihanna,1186788,196,80
